id,country_id,index,year
659,100,50.0,2016
660,100,56.3,2017
661,193,50.0,2006
662,193,46.9,2007
663,193,43.8,2008
664,193,40.6,2009
665,193,37.5,2010
666,193,43.8,2011
667,193,50.0,2012
668,193,50.0,2013
669,193,43.8,2014
670,193,50.0,2015
671,193,50.0,2016
672,193,50.0,2017
673,88,87.5,2006
674,88,87.5,2007
675,88,87.5,2008
676,88,84.4,2009
677,88,81.3,2010
678,88,81.3,2011
679,88,81.3,2012
680,88,81.3,2013
681,88,81.3,2014
682,88,81.3,2015
683,88,75.0,2016
684,88,75.0,2017
685,56,43.8,2006
686,56,43.8,2007
687,56,43.8,2008
688,56,46.9,2009
689,56,50.0,2010
690,56,50.0,2011
691,56,50.0,2012
692,56,56.3,2013
693,56,56.3,2014
694,56,62.5,2015
695,56,62.5,2016
696,56,62.5,2017
697,173,75.0,2006
698,173,75.0,2007
699,173,75.0,2008
700,173,75.0,2009
701,173,75.0,2010
702,173,68.8,2011
703,173,68.8,2012
704,173,68.8,2013
705,173,62.5,2014
706,173,62.5,2015
707,173,62.5,2016
708,173,68.8,2017
709,120,43.8,2006
710,120,43.8,2007
711,120,43.8,2008
712,120,43.8,2009
713,120,43.8,2010
714,120,43.8,2011
715,120,43.8,2012
716,120,43.8,2013
717,120,43.8,2014
718,120,43.8,2015
719,120,43.8,2016
720,120,50.0,2017
721,54,37.5,2006
722,54,37.5,2007
723,54,37.5,2008
724,54,37.5,2009
725,54,37.5,2010
726,54,37.5,2011
727,54,37.5,2012
728,54,37.5,2013
729,54,37.5,2014
730,54,43.8,2015
731,54,43.8,2016
732,54,43.8,2017
733,196,18.8,2006
734,196,18.8,2007
735,196,18.8,2008
736,196,18.8,2009
737,196,18.8,2010
738,196,18.8,2011
739,196,18.8,2012
740,196,18.8,2013
741,196,31.3,2014
742,196,31.3,2015
743,196,31.3,2016
744,196,31.3,2017
745,2,43.8,2006
746,2,43.8,2007
747,2,43.8,2008
748,2,43.8,2009
749,2,43.8,2010
750,2,43.8,2011
751,2,43.8,2012
752,2,43.8,2013
753,2,43.8,2014
754,2,43.8,2015
755,2,43.8,2016
756,2,43.8,2017
757,140,25.0,2006
758,140,25.0,2007
759,140,25.0,2008
760,140,31.3,2009
761,140,37.5,2010
762,140,37.5,2011
763,140,37.5,2012
764,140,37.5,2013
765,140,31.3,2014
766,140,37.5,2015
767,140,37.5,2016
768,140,43.8,2017
769,15,50.0,2006
770,15,50.0,2007
771,15,50.0,2008
772,15,46.9,2009
773,15,43.8,2010
774,15,43.8,2011
775,15,43.8,2012
776,15,43.8,2013
777,15,43.8,2014
778,15,43.8,2015
779,15,43.8,2016
780,15,43.8,2017
781,82,68.8,2006
782,82,68.8,2007
783,82,68.8,2008
784,82,68.8,2009
785,82,68.8,2010
786,82,68.8,2011
787,82,68.8,2012
788,82,68.8,2013
789,82,68.8,2014
790,82,68.8,2015
791,82,68.8,2016
792,82,68.8,2017
793,61,100.0,2006
794,61,100.0,2007
795,61,100.0,2008
796,61,100.0,2009
797,61,100.0,2010
798,61,100.0,2011
799,61,100.0,2012
800,61,100.0,2013
801,61,100.0,2014
802,61,100.0,2015
803,61,100.0,2016
804,61,100.0,2017
805,58,56.3,2006
806,58,59.4,2007
807,58,62.5,2008
808,58,53.1,2009
809,58,43.8,2010
810,58,50.0,2011
811,58,50.0,2012
812,58,56.3,2013
813,58,62.5,2014
814,58,56.3,2015
815,58,56.3,2016
816,58,56.3,2017
817,141,62.5,2006
818,141,62.5,2007
819,141,62.5,2008
820,141,59.4,2009
821,141,56.3,2010
822,141,56.3,2011
823,141,56.3,2012
824,141,62.5,2013
825,141,62.5,2014
826,141,62.5,2015
827,141,62.5,2016
828,141,56.3,2017
829,192,56.3,2006
830,192,53.1,2007
831,192,50.0,2008
832,192,37.5,2009
833,192,25.0,2010
834,192,25.0,2011
835,192,25.0,2012
836,192,25.0,2013
837,192,25.0,2014
838,192,31.3,2015
839,192,31.3,2016
840,192,31.3,2017
841,62,56.3,2006
842,62,50.0,2007
843,62,43.8,2008
844,62,40.6,2009
845,62,37.5,2010
846,62,37.5,2011
847,62,37.5,2012
848,62,37.5,2013
849,62,43.8,2014
850,62,43.8,2015
851,62,43.8,2016
852,62,50.0,2017
853,3,87.5,2006
854,3,87.5,2007
855,3,87.5,2008
856,3,87.5,2009
857,3,87.5,2010
858,3,81.3,2011
859,3,81.3,2012
860,3,87.5,2013
861,3,87.5,2014
862,3,93.8,2015
863,3,100.0,2016
864,3,100.0,2017
865,144,75.0,2006
866,144,75.0,2007
867,144,75.0,2008
868,144,75.0,2009
869,144,75.0,2010
870,144,75.0,2011
871,144,75.0,2012
872,144,75.0,2013
873,144,75.0,2014
874,144,75.0,2015
875,144,75.0,2016
876,144,75.0,2017
877,138,81.3,2006
878,138,81.3,2007
879,138,81.3,2008
880,138,81.3,2009
881,138,81.3,2010
882,138,75.0,2011
883,138,75.0,2012
884,138,75.0,2013
885,138,75.0,2014
886,138,81.3,2015
887,138,81.3,2016
888,138,81.3,2017
889,89,62.5,2006
890,89,62.5,2007
891,89,62.5,2008
892,89,62.5,2009
893,89,62.5,2010
894,89,62.5,2011
895,89,68.8,2012
896,89,68.8,2013
897,89,68.8,2014
898,89,68.8,2015
899,89,68.8,2016
900,89,68.8,2017
901,97,87.5,2006
902,97,87.5,2007
903,97,87.5,2008
904,97,81.3,2009
905,97,75.0,2010
906,97,75.0,2011
907,97,75.0,2012
908,97,75.0,2013
909,97,75.0,2014
910,97,75.0,2015
911,97,75.0,2016
912,97,75.0,2017
913,17,50.0,2006
914,17,50.0,2007
915,17,50.0,2008
916,17,43.8,2009
917,17,37.5,2010
918,17,37.5,2011
919,17,37.5,2012
920,17,37.5,2013
921,17,37.5,2014
922,17,43.8,2015
923,17,43.8,2016
924,17,43.8,2017
925,25,43.8,2006
926,25,43.8,2007
927,25,43.8,2008
928,25,43.8,2009
929,25,43.8,2010
930,25,43.8,2011
931,25,43.8,2012
932,25,43.8,2013
933,25,43.8,2014
934,25,43.8,2015
935,25,43.8,2016
936,25,43.8,2017
937,181,62.5,2006
938,181,59.4,2007
939,181,56.3,2008
940,181,56.3,2009
941,181,56.3,2010
942,181,56.3,2011
943,181,56.3,2012
944,181,56.3,2013
945,181,56.3,2014
946,181,56.3,2015
947,181,56.3,2016
948,181,56.3,2017
